#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
78000,97.00543212890625,381.8391645969823,478.84459672588855,58.877814837982285
79000,101.03680419921875,400.1499130912125,501.18671729043126,61.70124668925936
80000,69.92484283447266,389.41652940772474,459.3413722421974,60.046209082605195
81000,73.26506805419922,406.15811035921797,479.4231784134172,62.62768263154692
82000,85.68325805664062,400.6853351269383,486.3685931835789,61.78380626512925
83000,131.8997802734375,391.30139049049467,523.2011707639322,60.33684585357074
84000,75.9802474975586,381.10995534528047,457.09020284283906,58.76537417898084
85000,71.41761779785156,392.8816874283366,464.29930522618815,60.58052025662337
86000,81.62482452392578,378.2346251234412,459.859449647367,58.322011695255036
87000,108.82244873046875,373.8382631833665,482.66071191383526,57.64411322839222
88000,87.4778823852539,368.7210418935865,456.1989242788404,56.85506161839656
89000,95.763671875,392.53211118723266,488.29578306223266,60.52661723382267
90000,83.91827392578125,420.61810546182096,504.5363793876022,64.85734630449095
