#"Step","Potential Energy","Kinetic Energy","Total Energy","Temperature"
1160000,16.905752953141928,107.0342788696289,123.94003182277083,1.114940404891533
1180000,-22.11222203820944,116.86023712158203,94.7480150833726,1.2172941366826717
1200000,-34.82461021654308,110.66455078125,75.83994056470692,1.1527557373042383
1220000,-16.917835153639317,107.03180694580078,90.11397179216146,1.1149146556849905
1240000,-12.295950140338391,112.0854263305664,99.78947619022802,1.1675565242762784
1260000,-34.8166672186926,128.06231689453125,93.24564967583865,1.3339824676508474
1280000,-51.08633049298078,103.82182312011719,52.73549262713641,1.081477324167466
1300000,-25.49338779086247,98.17959594726562,72.68620815640315,1.022704124450285
1320000,13.035582475364208,84.34590911865234,97.38149159401655,0.8786032199856195
1340000,-37.59607673063874,102.59077453613281,64.99469780549407,1.068653901417634
1360000,-34.10801276564598,102.26876068115234,68.16074791550636,1.0652995904282552
1380000,-53.029757601208985,112.01016998291016,58.98041238170117,1.166772603988193
1400000,14.282826237380505,96.38938903808594,110.67221527546644,1.0040561358130038
1420000,87.04768482875079,101.93098449707031,188.9786693258211,1.0617810885107353
1440000,117.39692142652348,108.7890625,226.18598392652348,1.133219401041225
1460000,101.23882849188522,107.49897766113281,208.73780615301803,1.1197810173030305
1480000,102.13531518727541,106.26751708984375,208.40283227711916,1.1069533030187744
1500000,91.03538169222884,116.85829162597656,207.8936733182054,1.2172738711034483
