#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
29000,289.2956707450088,245.08392773361243,534.3795984786212,114.25124485132889
30000,320.18823101941655,267.34016537048944,587.528396389906,124.62647785511864
31000,288.5947633481183,222.97928085670324,511.5740442048216,103.9466792029812
32000,297.0979303090036,270.528176305406,567.6261066144095,126.11263902970926
33000,318.0961081133718,242.10533874676335,560.2014468601352,112.86271030810151
34000,306.4761097646451,256.9045233330821,563.3806330977272,119.76167458294093
35000,316.3550631056146,277.0194436069129,593.3745067125275,129.13868556290333
36000,321.27487671420636,254.59391034041488,575.8687870546212,118.68453169061375
37000,307.87863361848247,271.6951139956957,579.5737476141782,126.65663261187693
38000,307.25825338434777,273.47764925536933,580.7359026397171,127.48760049415465
39000,339.2366253946283,246.90446828082818,586.1410936754564,115.09992973142352
40000,308.460861045261,237.60276066433104,546.0636217095921,110.76373484400115
41000,290.1971096021812,239.2819014977452,529.4790110999263,111.5465031481993
42000,292.7153891353157,269.27797566450766,561.9933647998234,125.5298305980939
43000,278.97579227880266,277.0314429927942,556.0072352715969,129.1442793396437
44000,308.09515266870875,258.77097394451573,566.8661266132244,120.63176144576286
45000,329.0377641794356,279.32524261897885,608.3630067984145,130.2135843126567
46000,324.2779055603122,260.4898734519127,584.7677790122249,121.43306412729933
47000,304.17792904683,256.65590064682004,560.83382969365,119.64577366823633
48000,311.32392059513927,284.38879327382347,595.7127138689627,132.574069437216
49000,310.3017728755159,232.31366620485048,542.6154390803664,108.29810753126796
50000,322.12494970290186,262.1360448705033,584.2609945734052,122.2004630161285
51000,339.0416278717027,237.36341217747557,576.4050400491783,110.65215730062897
52000,324.1379335790062,248.56270266961806,572.7006362486243,115.87295203821652
53000,312.8341181990442,252.45274634355832,565.2868645426025,117.68638116179734
54000,323.7368175654801,281.8729905599291,605.6098081254092,131.40127285883247
55000,323.52497547561757,228.3772636719429,551.9022391475605,106.46306720945034
56000,318.19997059364266,274.4995897111468,592.6995603047894,127.96400043729336
57000,313.1393598959701,260.09231115921597,573.2316710551861,121.24773175048222
58000,316.6257232030103,277.2077346866299,593.8334578896402,129.22646157682235
59000,313.3915688951802,248.39631840769488,561.7878873028751,115.79538836758262
60000,306.850994301974,248.2819324574634,555.1329267594374,115.74206484968285
61000,280.05228376233856,263.8781607005872,543.9304444629258,123.01258849535874
62000,310.59579904293196,253.1901697897119,563.7859688326439,118.03014726463692
63000,290.72047565811926,237.5941613708007,528.31463702892,110.75972609483603
64000,289.1304517561842,259.1833021328029,548.3137538889871,120.82397726845976
65000,309.636152792623,236.7160388497844,546.3521916424074,110.35037003429849
66000,328.384585390712,257.1847783539879,585.5693637446999,119.89232160378158
67000,254.71132799570682,269.90607462344667,524.6174026191535,125.82263269496008
68000,331.94029813573945,237.87558665773182,569.8158847934712,110.89091866083518
69000,303.60625131542525,265.9813245572463,569.5875758726716,123.99302442590574
70000,338.93191690185984,260.3596322758432,599.291549177703,121.37234934834814
71000,331.4657702763045,268.2734770665781,599.7392473428827,125.06156155929501
72000,304.34681560822173,247.39915049520744,551.7459661034292,115.33053668848221
73000,296.1344151266386,270.90097625962534,567.0353913862639,126.28642789968514
74000,300.09525648018933,257.33734907395996,557.4326055541493,119.96344578905911
75000,330.70537312185456,280.65588013288186,611.3612532547364,130.83389015570054
76000,309.54395416664164,266.6669015369444,576.210855703586,124.31262116199635
77000,345.2974533022872,279.7428257498884,625.0402790521756,130.4082498420389
78000,337.3892914505239,261.7612088000801,599.150500250604,122.02572496595499
79000,320.3276057217423,257.5420681256913,577.8696738474337,120.05888006221353
80000,316.08922734947026,247.512305179198,563.6015325286683,115.38328622463594
81000,336.65085351064016,248.74807085986066,585.3989243705008,115.95936548314089
82000,283.06371482437225,257.6234494438955,540.6871642682677,120.09681774747283
83000,340.4370236778799,251.45107974520545,591.8881034230853,117.21943232167511
84000,296.1108268053135,250.11967256730549,546.230499372619,116.598767682889
85000,314.22707540334574,264.5663570239682,578.793432427314,123.33340629591987
86000,315.678978580361,230.61438152143947,546.2933601018004,107.50594872986534
87000,307.20040370439165,262.49123284960984,569.6916365540014,122.36604167787272
88000,342.24417969976116,268.3630753197131,610.6072550194742,125.10332974887744
89000,340.337870273232,260.6978993967012,601.0357696699332,121.53003998113539
90000,282.3506017577064,262.95221184681714,545.3028136045235,122.58093714151362
